,as_of_date,action,quantity,sec_type,symbol,trading_class,multiplier,price,commission,trade_time,sub_strategy,quantity_direction,hedge_value
299,2022-03-18,SLD,1,FUT,ES,ES,50,4390.0,2.15,20220318  09:38:32,DH,-1,219497.85
300,2022-03-18,BOT,1,FUT,ES,ES,50,4390.75,2.15,20220318  09:44:32,DH,1,-219539.65
301,2022-03-18,BOT,1,FUT,ES,ES,50,4398.5,2.15,20220318  09:50:32,DH,1,-219927.15
302,2022-03-18,SLD,1,FUT,ES,ES,50,4394.75,2.15,20220318  09:52:32,DH,-1,219735.35
303,2022-03-18,BOT,1,FUT,ES,ES,50,4399.75,2.15,20220318  10:01:08,DH,1,-219989.65
304,2022-03-18,BOT,1,FUT,ES,ES,50,4406.75,2.15,20220318  10:09:08,DH,1,-220339.65
305,2022-03-18,SLD,1,FUT,ES,ES,50,4405.0,2.15,20220318  10:17:08,DH,-1,220247.85
306,2022-03-18,BOT,1,FUT,ES,ES,50,4407.0,2.15,20220318  10:23:08,DH,1,-220352.15
307,2022-03-18,SLD,1,FUT,ES,ES,50,4404.75,2.15,20220318  10:25:08,DH,-1,220235.35
308,2022-03-18,BOT,1,FUT,ES,ES,50,4407.5,2.15,20220318  10:33:08,DH,1,-220377.15
309,2022-03-18,SLD,1,FUT,ES,ES,50,4404.5,2.15,20220318  10:35:08,DH,-1,220222.85
329,2022-03-08,SLD,1,FUT,ES,ES,50,4191.5,2.15,20220308  11:02:29,DH,-1,209572.85
330,2022-03-08,SLD,1,FUT,ES,ES,50,4188.0,2.15,20220308  11:06:29,DH,-1,209397.85
331,2022-03-08,SLD,1,FUT,ES,ES,50,4181.25,2.15,20220308  11:08:29,DH,-1,209060.35
332,2022-03-08,SLD,1,FUT,ES,ES,50,4174.25,2.15,20220308  11:22:29,DH,-1,208710.35
333,2022-03-08,SLD,1,FUT,ES,ES,50,4167.5,2.15,20220308  11:26:29,DH,-1,208372.85
334,2022-03-08,SLD,2,FUT,ES,ES,50,4157.25,4.3,20220308  11:32:29,DH,-2,415720.7
335,2022-03-08,BOT,1,FUT,ES,ES,50,4166.25,2.15,20220308  11:36:29,DH,1,-208314.65
336,2022-03-08,SLD,1,FUT,ES,ES,50,4159.0,2.15,20220308  11:42:29,DH,-1,207947.85
337,2022-03-08,BOT,1,FUT,ES,ES,50,4166.0,2.15,20220308  11:46:29,DH,1,-208302.15
338,2022-03-08,BOT,2,FUT,ES,ES,50,4176.75,4.3,20220308  11:48:29,DH,2,-417679.3
339,2022-03-08,BOT,1,FUT,ES,ES,50,4178.0,2.15,20220308  11:50:30,DH,1,-208902.15
340,2022-03-08,BOT,1,FUT,ES,ES,50,4185.0,2.15,20220308  11:54:30,DH,1,-209252.15
341,2022-03-08,SLD,1,FUT,ES,ES,50,4182.5,2.15,20220308  12:00:30,DH,-1,209122.85
342,2022-03-08,BOT,3,FUT,ES,ES,50,4196.0,6.45,20220308  12:02:30,DH,3,-629406.45
343,2022-03-08,BOT,1,FUT,ES,ES,50,4207.75,2.15,20220308  12:06:30,DH,1,-210389.65
