,vol_20_day
2009-11-17 00:00:00,0.21329431040988767
2009-11-18 00:00:00,0.2121088738141115
2009-11-19 00:00:00,0.20892222238029107
2009-11-20 00:00:00,0.21231445337756363
2009-11-23 00:00:00,0.2083392716693167
2009-11-24 00:00:00,0.20781021378877823
2009-11-25 00:00:00,0.20641676395627842
2009-11-27 00:00:00,0.19081249541468326
2009-11-30 00:00:00,0.19018517764388065
2009-12-01 00:00:00,0.1525628325199184
2009-12-02 00:00:00,0.15546215875734976
2009-12-03 00:00:00,0.1560286093253606
2009-12-04 00:00:00,0.1607908012414435
2009-12-07 00:00:00,0.1502073794529026
2009-12-08 00:00:00,0.1506852416060825
2009-12-09 00:00:00,0.1351572012590131
2009-12-10 00:00:00,0.13579118745115734
2009-12-11 00:00:00,0.13605402734175717
2009-12-14 00:00:00,0.13093039610697804
2009-12-15 00:00:00,0.1316684419573566
2009-12-16 00:00:00,0.12297360897565607
2009-12-17 00:00:00,0.12302167367234307
2009-12-18 00:00:00,0.13034969875261354
2009-12-21 00:00:00,0.12312475427121605
2009-12-22 00:00:00,0.1267475273329897
2009-12-23 00:00:00,0.11967281537456784
2009-12-24 00:00:00,0.11972266001388976
2009-12-28 00:00:00,0.12017721978065671
2009-12-29 00:00:00,0.10194227592799714
2009-12-30 00:00:00,0.10232076869369264
2009-12-31 00:00:00,0.0939651553565305
2010-01-04 00:00:00,0.10096883923065259
2010-01-05 00:00:00,0.11200844835339756
2010-01-06 00:00:00,0.11104708482761458
2010-01-07 00:00:00,0.1105309961820811
2010-01-08 00:00:00,0.10013098885677808
2010-01-11 00:00:00,0.10006491383086219
2010-01-12 00:00:00,0.09932865663702295
2010-01-13 00:00:00,0.10684501411581815
2010-01-14 00:00:00,0.10806961248200332
2010-01-15 00:00:00,0.10564066433750088
2010-01-19 00:00:00,0.11543768746064145
2010-01-20 00:00:00,0.11081405478738193
2010-01-21 00:00:00,0.11871740951429703
2010-01-22 00:00:00,0.13548918527152454
2010-01-25 00:00:00,0.15642938527121394
2010-01-26 00:00:00,0.15764663267506493
2010-01-27 00:00:00,0.1565685489428933
2010-01-28 00:00:00,0.15762305646999283
2010-01-29 00:00:00,0.16175091231202973
2010-02-01 00:00:00,0.16482152769679853
2010-02-02 00:00:00,0.17393301007044706
2010-02-03 00:00:00,0.16802859264189585
2010-02-04 00:00:00,0.16785543859211305
2010-02-05 00:00:00,0.19688862842615412
2010-02-08 00:00:00,0.19595399002477668
2010-02-09 00:00:00,0.19477229281882116
2010-02-10 00:00:00,0.20264007683172508
2010-02-11 00:00:00,0.2014187335382229
2010-02-12 00:00:00,0.20305301872964823
2010-02-16 00:00:00,0.20216010454291633
2010-02-17 00:00:00,0.21012208316780098
2010-02-18 00:00:00,0.2049309288950571
2010-02-19 00:00:00,0.2044213370176216
2010-02-22 00:00:00,0.1932457297930333
2010-02-23 00:00:00,0.17471785317654656
2010-02-24 00:00:00,0.1799112897017562
2010-02-25 00:00:00,0.1819616914427111
2010-02-26 00:00:00,0.18146870241060065
2010-03-01 00:00:00,0.17592897271290323
2010-03-02 00:00:00,0.17298486422883885
2010-03-03 00:00:00,0.16560677958799008
2010-03-04 00:00:00,0.1607721251172378
2010-03-05 00:00:00,0.15938514095745324
2010-03-08 00:00:00,0.11204230882592536
